Name|Vintage|Grade|Review|Author|Attr_1,Attr_2,...,Attr_n-1,Attr_n,|Price|Country|Region|IssueDate
CHÂTEAU DE BEAUCASTEL Châteauneuf-du-Pape White Vieilles Vignes|2009|95|Dense and rich, with creamed yellow apple, sweetened butter, glazed pear and Cavaillon melon notes all woven seamlessly together and gliding through the very long finish. Shows gorgeous purity and length. Drink now through 2020. 500 cases made.|–JM|LONG FINISH,APPLE,MELON,PEAR,BUTTER,DENSE,GORGEOUS,LENGTH,RICH,SEAMLESS,|185|France|Southern Rhône|Jul 31, 2011
C.H. BERRES Riesling Beerenauslese Mosel Ürziger Würzgarten|2009|96|Thick, rich and expressive, with concentrated flavors of ripe apricot, peach and butterscotch that show hints of marzipan. Powerful acidity provides the structure, and the long finish is intensely buttery and spicy. Drink now through 2045. 20 cases made.|–KM|LONG FINISH,APRICOT,BUTTERSCOTCH,SPICE,CONCENTRATED,WELL-STRUCTURED,ACIDITY,EXPRESSIVE,POWER,RICH,RIPE,|125|Germany|Germany|Web Only - 2011
BEVAN CELLARS Sugarloaf Mountain The Whitney Napa Valley|2009|95|A gorgeous effort that offers pure, complex aromas of cassis, kirsch, melted black licorice, spice, cedar and tobacco, all well-distributed, gaining momentum and ending with a long, persistent, layered finish. Cabernet Franc and Merlot. Drink now through 2022. 100 cases made.|–JL|BLACK LICORICE,SPECIFIC FINISH,CASSIS,TOBACCO,CEDAR,COMPLEX,GORGEOUS,LONG,MOMENTUM,PURE,|150|California|Napa|May 31, 2012
BOOKWALTER Chapter Columbia Valley|2009|95|Dark and brooding, this is dense with black cherry, blackberry and black pepper flavors that show hints of savory bacon and roasted vegetables around the edges, coming together artfully in a smooth, muscular finish. Offers depth and distinction without tremendous weight. Cabernet Sauvignon, Cabernet Franc and Syrah. Best from 2014 through 2020. 202 cases made.|–HS|BLACK CHERRY,BLACK PEPPER,BACON,DENSE,WEIGHT,DARK,DEPTH,MUSCLE,SAVORY,SMOOTH,TREMENDOUS,|85|Washington|Washington|Nov 15, 2012
CAYUSE Syrah Walla Walla Valley Cailloux Vineyard|2009|96|Polished, effortless and juicy, with blackberry, currant, black olive and tar flavors, beautifully balanced to rotate all its facets as the finish keeps spinning. Harmonious and expressive. Drink now through 2019. 754 cases made.|–HS|BLACK OLIVE,BLACKBERRY,TAR,BALANCE,BEAUTY,EXPRESSIVE,HARMONY,JUICY,POLISHED,|75|Washington|Washington|Aug 31, 2012
CAYUSE Syrah Walla Walla Valley En Cerise Vineyard|2009|95|Rich, supple and opulent, this is generous with its blackberry, purple plum, black olive, tobacco and dusky spice flavors, remaining complex and harmonious through the long, balanced finish. Drink now through 2019. 362 cases made.|–HS|BLACK OLIVE,EXCELLENT FINISH,BLACKBERRY,PLUM,SPICE,COMPLEX,GENEROUS,HARMONY,LONG,RICH,|75|Washington|Washington|Aug 31, 2012
CAYUSE Syrah Walla Walla Valley En Chamberlin Vineyard|2009|96|Rich and velvety, delivering a complex mouthful of dark plum, blackberry, black olive, smoke and spice flavors that persist on the long, expressive finish. Offers depth and subtlety to go with its power. Drink now through 2019. 314 cases made.|–HS|DARK PLUM,BLACK OLIVE,EXCELLENT FINISH,SPICE,COMPLEX,DEPTH,LONG,POWER,RICH,VELVETY,|75|Washington|Washington|Aug 31, 2012
M. CHAPOUTIER Ermitage White L'Ermite|2009|99|Captivating, with persimmon, dried mango, quince and Jonagold apple fruit aromas and flavors, all woven seamlessly together, while bracing quinine and salted butter notes add serious length to the finish. A sensational combination of power and precision. Best from 2016 through 2030. 229 cases made.|–JM|QUINCE,APPLE,MANGO,BUTTER,BRACING,LENGTH,POWER,SEAMLESS,SERIOUS,|560|France|Northern Rhône|Jun 30, 2012
M. CHAPOUTIER Ermitage White Le Méal|2009|98|An intense and gorgeous wine, with a rich yet remarkably racy core of star fruit, fennel, anise, white peach and chamomile flavors that course along, followed by a finish of salted butter and blanched almond. There's lots of flesh, but also invigorating, almost crunchy acidity buried deeply. Drink now through 2027. 844 cases made.|–JM|WHITE PEACH,ACIDITY,FRUIT,ALMOND,BUTTER,CHAMOMILE,ANISE,FLESH,GORGEOUS,INTENSE,RACY,RICH,|220|France|Northern Rhône|Jun 30, 2012
M. CHAPOUTIER Ermitage White de l'Orée|2009|97|A ripe, full-bodied style, with fig, creamed pear, McIntosh apple and melon flavors laced with sweetened butter and guided by a macadamia nut edge on the finish. Youthfully raw and a bit unbridled right now, but this should settle into itself with time. Best from 2015 through 2027. 477 cases made.|–JM|APPLE,MELON,PEAR,FIG,BUTTER,FULL-BODIED,RIPE,|220|France|Northern Rhône|Jun 30, 2012
M. CHAPOUTIER St.-Joseph White Les Granits|2009|96|Still tight, with blanched almond and pear skin notes holding the core of green fig, white peach and salted butter at bay for now. The long finish, featuring mineral and floral notes, just sails on with terrific intensity. Best from 2014 through 2024. 789 cases made.|–JM|WHITE PEACH,GREEN FIG,LONG FINISH,PEAR,ALMOND,BUTTER,MINERAL,FLORAL,INTENSITY,TIGHT,|84|France|Northern Rhône|Jun 30, 2012
JEAN-LOUIS CHAVE Hermitage White|2009|98|A stunning display of richness and precision, with almost languid creamed Cavaillon melon, peach and persimmon fruit framed by toasted macadamia nut and brioche hints. This is kept lively by salted butter, chamomile and orange blossom flavors through the very long finish, where a quinine note echoes. Best from 2015 through 2030. 1,200 cases made.|–JM|ORANGE BLOSSOM,LONG FINISH,PEACH,MELON,FRUIT,BUTTER,BRIOCHE,ECHO,LIVELY,RICH,STUNNING,|350|France|Northern Rhône|Oct 31, 2012
CLOS DES PAPES Châteauneuf-du-Pape White|2009|95|Superfresh, with blanched almond, green plum, yellow apple and verbena notes carried by almost brisk minerality. The finish is really bright and mouthwatering. There's rather stony precision and this still a touch tight. Begs for cellaring. Best from 2011 through 2020. 1,000 cases made.|–JM|APPLE,PLUM,ALMOND,MINERAL,BRIGHT,MOUTHWATERING,TIGHT,|100|France|Southern Rhône|Oct 31, 2010
DUNHAM Riesling Columbia Valley Late Harvest Lewis Estate Vineyard|2009|96|A dessert wine of refinement and depth, sweet and rich, focusing its pear, pineapple, cream and honey flavors into a fine beam, balancing the sweetness with lacy acidity. Impressive for its richness and balance. Drink now through 2017. Tasted twice, with consistent notes. 172 cases made.|–HS|PEAR,HONEY,CREAM,ACIDITY,BALANCE,BALANCE,BEAM,CONSISTENT,DEPTH,FINE,RICH,RICH,|19|Washington|Washington|Aug 31, 2012
GORMAN Syrah-Cabernet Sauvignon Red Mountain The Evil Twin|2009|95|Firm in texture, this is expansive and generous in flavor, rolling its licorice-accented blackberry, cherry and tar flavors with focus and intensity against a layer of fine tannins. Shows depth and power, finishing long and vibrant. Best from 2013 through 2018. Tasted twice, with consistent notes. 500 cases made.|–HS|TANNINS,BLACKBERRY,TAR,CONSISTENT,DEPTH,EXPANSIVE,FIRM,FOCUS,GENEROUS,INTENSITY,LONG,POWER,TEXTURE,VIBRANT,|60|Washington|Washington|Dec 15, 2011
E. GUIGAL Ermitage White Ex Voto|2009|97|This has hyperdrive, with terrific, enveloping mango, papaya and creamed melon flavors supported by a spine of chamomile, quinine and white peach. The long finish sports brioche, paraffin and macadamia nut notes. Shows excellent range. Best from 2013 through 2023. 583 cases made.|–JM|WHITE PEACH,LONG FINISH,MANGO,MELON,BRIOCHE,CHAMOMILE,|258|France|Northern Rhône|Sep 30, 2012
CHÂTEAU HAUT-BRION Pessac-Léognan White|2009|95|Very young, with a plume of chalk leading the way for a huge core of macadamia nut, blanched almond, jasmine, white peach, salted butter, quinine and shortbread notes, which are seamlessly woven and very focused through the finish. Paraffin and brioche hang in the background and should emerge more after cellaring. This is built to go the distance. Best from 2014 through 2034. 580 cases made.|–JM|WHITE PEACH,ALMOND,BUTTER,BRIOCHE,FOCUSED,SEAMLESS,YOUNG,|1080|France|Bordeaux|Mar 31, 2012
DR. HERMANN Riesling Trockenbeerenauslese Mosel Ürziger Würzgarten|2009|95|Fresh, vibrant and juicy. This is filled with lively flavors of peach cobbler and buttercream that are unctuous. The sturdy frame is supported by a plenty of lively acidity. The spicy finish is long and rich. Drink now through 2042.|–KM|ACIDITY,SPECIFIC FINISH,PEACH,FRESH,JUICY,LIVELY,LONG,RICH,|299|Germany|Germany|Web Only - 2011
K The Creator Walla Walla Valley|2009|95|Firm, focused and dripping with personality, this is full of wet slate, rare meat and sourdough toast flavors, along with dense, dark blueberry and plum fruit, all competing for attention against polished tannins that let the finish roll on and on. Cabernet Sauvignon and Syrah. Best from 2014 through 2020. 300 cases made.|–HS|BLUEBERRY,PLUM,TOAST,MINERAL,TANNINS,DENSE,DRIPPING,FIRM,PERSONALITY,POLISHED,|55|Washington|Washington|Nov 15, 2012
HERIBERT KERPEN Riesling Auslese* Mosel Wehlener Sonnenuhr|2009|95|Long, rich and sumptuous, with a surplus of crème brûlée, meringue, ripe peach and mineral flavors. Jets ahead with luscious glazed apricot and jellied citrus notes. Elegant and juicy, with loads of spice on the finish. Drink now through 2040. 5 cases imported.|–KM|CITRUS,APRICOT,PEACH,MINERAL,SPICE,ELEGANT,JUICY,LONG,LUSCIOUS,RIPE,|33|Germany|Germany|Web Only - 2011
MEULENHOF Riesling Auslese Mosel Wehlener Sonnenuhr|2009|95|Full-throttle, with a mineral- and rose-infused aroma, followed by flavors of peach cobbler, apricot, lemon curd and spice. This has bright acidity, with clove and Indian spice notes. Intensely juicy and fresh on the finish, with a beautiful silky texture. Best from 2015 through 2035. 140 cases imported.|–KM|LEMON CURD,ACIDITY,APRICOT,PEACH,SPICE,BEAUTY,FRESH,JUICY,TEXTURE,|24|Germany|Germany|Apr 30, 2011
PEDESTAL Merlot Columbia Valley|2009|95|This red is round, generous and expressive, offering plum, loganberry, cherry and clove flavors that pick up hints of loam and floral character as the finish tightens its focus. Impressive for its length and deft balance. Best from 2013 through 2019. 1,994 cases made.|–HS|CHERRY,PLUM,FLORAL,RED,ROUND,BALANCE,DEFT,EXPRESSIVE,FOCUS,LENGTH,|55|Washington|Washington|Nov 15, 2012
JOH. JOS. PRÜM Riesling Auslese Mosel Wehlener Sonnenuhr|2009|96|Pure, precise and fresh-tasting, with an intense clarity to the apple, pear and tangerine flavors that feature notes of slate and vanilla. The crystalline finish is long, pure and precise, with hints of smoke and anise. Best from 2014 through 2040.|–KM|TANGERINE,APPLE,VANILLA,SMOKE,MINERAL,ANISE,INTENSE,LONG,PURE,|57|Germany|Germany|Apr 30, 2011
JOH. JOS. PRÜM Riesling Auslese Gold Cap Mosel Wehlener Sonnenuhr|2009|96|Explosively fruity, rich and opulent, with loads of baked peach, apricot and pear flavors that are overlaid with concentrated notes of apple butter and spice. The long finish is filled with toffee and cream. Best from 2014 through 2038.|–KM|LONG FINISH,APPLE,APRICOT,PEACH,FRUIT,TOFFEE,CREAM,SPICE,CONCENTRATED,|111|Germany|Germany|Apr 30, 2011
S.A. PRÜM Riesling Trockenbeerenauslese Mosel Wehlener Sonnenuhr Vat 59|2009|96|Very honeyed and fresh, with excellent focus to the ripe white fruit, cream and spice flavors. Layered and plush, with a long, elegant finish of apricot tart, with some minerally notes. Drink now through 2042. 20 cases made.|–KM|WHITE FRUIT,APRICOT,MINERAL,SPICE,ELEGANT,FOCUS,FRESH,LAYERS,LONG,PLUSH,RIPE,|440|Germany|Germany|Web Only - 2011
QUILCEDA CREEK Cabernet Sauvignon Columbia Valley|2009|96|Pure and impressively expressive, with focused currant, plum, blackberry and black olive aromatics turning on the palate to a more complex profile, weaving in coffee, crème brûlée and chai tea notes, all wrapped in a polished texture. The finish doesn't want to quit. Best from 2015 through 2024. 3,985 cases made.|–HS|BLACK OLIVE,BLACKBERRY,CURRANT,TEA,COFFEE,COMPLEX,EXPRESSIVE,FOCUSED,POLISHED,PURE,|135|Washington|Washington|Nov 15, 2012
CHARLES SMITH Syrah Columbia Valley Royal City Stoneridge Vineyard|2009|97|Supple, rich and complex, this is a towering, majestic wine layered with floral, mineral and exotic spice character around a core of meaty black cherry, licorice and maple flavors. It all comes together seamlessly on the long, expressive finish. Drink now through 2020. 400 cases made.|–HS|BLACK CHERRY,EXCELLENT FINISH,MINERAL,FLORAL,SPICE,COMPLEX,LAYERS,LONG,RICH,SEAMLESS,SUPPLE,|140|Washington|Washington|Nov 15, 2012
DOMAINE ST.-PRÉFERT Châteauneuf-du-Pape White Cuvée Spéciale Vieilles Clairettes|2009|95|Subtle at first, this slowly builds on layers of citrus oil, honeysuckle, melon eau-de-vie, white peach and rose water for impressive range. The rounded edges are combined with a racy minerality through the middle, with a bracing dash of pink grapefruit, resulting in a gorgeous creamy mouthfeel and stunning length. Drink now through 2014. 133 cases made.|–JM|WHITE PEACH,CITRUS,GRAPEFRUIT,MELON,MINERAL,CREAM,HONEYSUCKLE,BRACING,GORGEOUS,IMPRESSIVE,LAYERS,LENGTH,RACY,STUNNING,SUBTLE,|150|France|Southern Rhône|Oct 15, 2011
ROBERT WEIL Riesling Trockenbeerenauslese Rheingau Kiedrich Gräfenberg|2009|96|Lush, ripe and rich, with concentrated and precise ripe peach, apricot and pear flavors that glide across the palate. Mango and coconut emerge as well, flowing into the thick finish that's filled to the brim with honeycream and spice. Drink now through 2042. 46 cases made.|–KM|APRICOT,PEACH,MANGO,SPICE,CONCENTRATED,LUSH,RICH,RIPE,|612|Germany|Germany|Web Only - 2011
ROBERT WEIL Riesling Eiswein Rheingau Kiedrich Gräfenberg|2009|96|Lusciously ripe aromas lead to unctuous flavors of apricot tart, peach cobbler and apple strudel. This is long and rich on the finish, with notes of spice, butter and honey supported by fresh acidity. Drink now through 2035. 67 cases made.|–KM|ACIDITY,APPLE,APRICOT,PEACH,BUTTER,HONEY,SPICE,LONG,RICH,RIPE,|376|Germany|Germany|Web Only - 2011
ROBERT WEIL Riesling Auslese Rheingau Kiedrich Gräfenberg|2009|95|Very honeyed, boasting plenty of savory herbal accents to the ripe quince, pear, apricot and McIntosh apple flavors. Pure and well-structured, with a lip-smacking finish of bright clove notes, which linger with lots of mineral. Best from 2014 through 2038. 275 cases made.|–KM|QUINCE,APPLE,APRICOT,HERBS,MINERAL,WELL-STRUCTURED,BRIGHT,LINGER,PURE,RIPE,SAVORY,|76|Germany|Germany|Apr 30, 2011
WINE & SOUL Vintage Port Pintas|2009|95|Offers a floral nose, with fruity flavors of berry and cherry that are flanked by seductive sandalwood and cedar notes. Well-integrated tannins provide good punch, with rich licorice notes dominating the ripe, chewy finish. Best from 2016 through 2032. 250 cases made.|–KM|TANNINS,SPECIFIC FINISH,BERRY,CHERRY,FRUIT,CEDAR,SANDALWOOD,FLORAL,LICORICE,RICH,RIPE,|75|Portugal|Portugal|Jul 31, 2012
ZIND-HUMBRECHT Pinot Gris Alsace Hunawihr Clos Windsbuhl Trie Spéciale Sélection des Grains Nobles|2009|97|Very spicy and rich, with clove, nutmeg, cardamom and white pepper notes winding through flavors of baked apricot, spun honey, bergamot and pastry. Though lush and mouthcoating, this features racy, well-meshed acidity that creates a mouthwatering impression on the extended finish. To be released fall 2013. Drink now through 2030.|–AN|WHITE PEPPER,APRICOT,CARDAMOM,HONEY,SPICE,ACIDITY,LUSH,MOUTHWATERING,RACY,RICH,|-1|France|Alsace|Nov 15, 2012
ABEJA Syrah Walla Walla Valley|2008|95|Supple and powerful, bursting with rich plum, currant and spice flavors, yet nicely reined in to mute the explosion and focus the juiciness into a mouthful of complex and exciting character. Best from 2011 through 2018. 271 cases made.|–HS|CURRANT,PLUM,CHARACTER,COMPLEX,FOCUS,NICE,POWER,RICH,SUPPLE,|32|Washington|Washington|Sep 30, 2010
ANDREW WILL Sorella Horse Heaven Hills|2008|95|Impressive for its intensity and elegance, packed with black cherry, cherry, plum and spice flavors, hinting at roasted red pepper and a tarry minerality as the finish glides smoothly over refined tannins. Cabernet Sauvignon, Cabernet Franc and Merlot. Best from 2012 through 2020. 973 cases made.|–HS|ROASTED RED PEPPER,BLACK CHERRY,TANNINS,PLUM,MINERAL,TAR,SPICE,ELEGANT,IMPRESSIVE,INTENSITY,SMOOTH,|72|Washington|Washington|Aug 31, 2011
BAER Ursa Columbia Valley|2008|95|This has great presence, offering a dense cloud of blackberry, cherry and spice flavors that hover, almost weightless, over a sleek frame of fine tannins, with just enough acidity to keep it fresh. The finish sails on beautifully. Merlot, Cabernet Franc, Cabernet Sauvignon, Malbec and Petit Verdot. Best from 2012 through 2020. 1,095 cases made.|–HS|TANNINS,LONG FINISH,DENSE CLOUD,BLACKBERRY,SPICE,WEIGHTLESS,ACIDITY,BEAUTY,FRESH,HOVER,PRESENCE,SLEEK,|35|Washington|Washington|Aug 31, 2011
BETZ Syrah Red Mountain La Côte Rousse|2008|95|Supple and open-textured, with a gorgeous array of dark plum, currant and blackberry fruit sailing through the full-throated finish. Not at all heavy, just exuberant. The finish lasts and lasts. Drink now through 2017. 565 cases made.|–HS|DARK PLUM,BLACKBERRY,GORGEOUS,SUPPLE,|55|Washington|Washington|Dec 15, 2010
CAYUSE Syrah Walla Walla Valley Cailloux Vineyard|2008|95|Polished, refined in structure and exuberant in flavor, bursting with cherry, smoke, paprika and tar character, finishing with a mineral edge. This has a steely balance behind the open texture, and the finish just rolls and rolls. Drink now through 2020. 785 cases made.|–HS|CHERRY,MINERAL,TAR,WELL-STRUCTURED,BALANCE,POLISHED,STEELY,TEXTURE,|70|Washington|Washington|Aug 31, 2011
CAYUSE Syrah Walla Walla Valley En Cerise Vineyard|2008|96|Rich and round, yet amazingly transparent as the cherry, mineral, tar and sassafras flavors expand over the long, expressive palate. This has richness and depth balanced with vibrant acidity, finishing with intensity. Best from 2012 through 2020. 355 cases made.|–HS|CHERRY,SASSAFRAS,TAR,ROUND,ACIDITY,BALANCE,DEPTH,EXPRESSIVE,INTENSITY,LONG,RICH,RICH,|70|Washington|Washington|Aug 31, 2011
M. CHAPOUTIER Ermitage White L'Ermite|2008|95|Ripe and focused, with a fresh streak of quinine stitching the honeysuckle, macadamia nut, dried peach, papaya and nectarine flavors together. The long finish still has some youthful tautness to it, but this opens steadily with air and displays remarkable length, mouthfeel and buried minerality. Not a blip of the vintage's overly tangy side either. Best from 2011 through 2019. 30 cases imported.|–JM|LONG FINISH,NECTARINE,PEACH,MINERAL,HONEYSUCKLE,FOCUSED,FRESH,LENGTH,REMARKABLE,RIPE,|490|France|Northern Rhône|Nov 15, 2010
JEAN-LOUIS CHAVE Hermitage White|2008|95|Lush yet precise, with green tea, honeysuckle and quinine notes rippling through the core of green plum, pear and Jonagold apple fruit. The finish has mouthwatering minerality and subtle persistence. Seamless and long. Best from 2012 through 2022. 500 cases made.|–JM|GREEN TEA,APPLE,PEAR,PLUM,MINERAL,LONG,LUSH,MOUTHWATERING,SEAMLESS,|300|France|Northern Rhône|Nov 15, 2011
DENNER The Dirt Worshipper Paso Robles|2008|97|A brilliant wine, showing focus, intensity and purity, with an amazing array of flavors that are supple, layered, deep and persistent, built around ripe boysenberry, blackberry, wild berry and huckleberry. Ends with a wonderful lift. Syrah and Viognier. Drink now through 2022. 810 cases made.|–JL|ARRAY OF FLAVORS,WILD BERRY,BLACKBERRY,BOYSENBERRY,BRILLIANT,DEEP,FOCUS,LAYERS,LIFT,PURITY,RIPE,SUPPLE,WONDERFUL,|45|California|South Coast|Feb 28, 2011
DOMAINE SERENE Pinot Noir Dundee Hills Winery Hill Vineyard|2008|95|Lithe and satiny, this glows with rich plum, blueberry, clove and crême caramel flavors, melding smoothly and lingering on the refined, evocative finish. Shows density and elegance. Best from 2013 through 2020. 350 cases made.|–HS|BLUEBERRY,PLUM,DENSE,ELEGANT,LINGER,RICH,SATINY,SMOOTH,|75|Oregon|Oregon|Aug 31, 2011
